Date ,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent
03/02/10,Infinite Comp,189.8,48.44,106.02,11.08,43.22,165,11.82
08/02/10,Jubilant Food,328.7,59.39,51.95,3.79,31.11,145,-84.21
15/02/10,Syncom Health,56.25,0.99,16.6,6.25,5.17,75,17.13
15/02/10,Vascon Engineer,199.8,1.12,3.65,0.62,1.22,165,-11.28
19/02/10,Thangamayil,0,0.52,1.52,2.26,1.12,75,-5.2
23/02/10,Aqua Logistics,150,0.26,5.07,3,1.94,220,-88.88
24/02/10,DB Realty,1500,1.35,1.21,0.01,0.85,468,-2.69
24/02/10,Emmbi Ind,43.08,0.43,5.55,0.46,1.2,45,-36.33
25/02/10,Hathway Cable,735.4,1.43,4.29,0.28,1.36,240,-82.68
03/03/10,ARSS Infra,103,49.34,124.53,18.55,47.62,450,63.62
10/03/10,Texmo Pipes,45,1.02,30.5,7.26,7.48,90,52.5
11/03/10,Man Infra,142,96.06,104.57,10.26,62.53,252,-81.58
18/03/10,United Bank,330,47.08,39.15,9.8,33.38,66,4.24
29/03/10,DQ Entertain,128.38,93.86,272.88,19.45,86.33,80,35.69
30/03/10,ILandFS Trans,700,52.61,39.39,4.56,33.42,258,-1.67
05/04/10,Pradip Overseas,116.6,8.57,45.35,10.53,14.08,110,-18.83
06/04/10,Persistent,168.01,144.43,107.73,21.69,93.6,310,-34.19
09/04/10,Shree Ganesh,385.29,1.38,6.13,1.39,1.96,260,-37.21
12/04/10,Intrasoft Tech,53.65,21.97,21.6,13.51,18.95,145,9.9
16/04/10,Goenka Diamond,145,0.78,2.99,0.66,1.07,135,-90.53
10/05/10,Talwalkars Fitn,77.44,35.43,51.48,8.43,28.39,128,27.03
13/05/10,NEL HOLDINGS SO,405,2.54,0.22,0.16,1.16,54,-5.65
18/05/10,Tarapur Trans,63.75,0.03,5.08,2.74,1.74,75,-24.13
19/05/10,GB Global,107.9,7.97,10.52,2.81,6.32,130,2.81
20/05/10,SJVN,1079,9.03,3.39,3.12,6.64,26,-3.65
21/05/10,Jaypee Infra,1650,1.77,1.15,0.61,1.24,102,-10.49
01/07/10,Parabolic Drugs,200,1.48,1.2,0.4,1.04,75,-13.6
16/07/10,Technofab Engg,71.76,4.28,48.85,10.03,12.78,240,23.19
21/07/10,Hindustan Media,270,8.98,3.39,1,5.43,166,13.98
28/07/10,Shri Aster,53.1,0.01,12.46,7.41,4.47,118,68.73
16/08/10,Bharat Fin,1653.97,20.38,18.26,2.81,13.69,985,10.52
18/08/10,Bajaj Consumer,297,20.19,53.49,6.62,19.29,660,-77.02
25/08/10,Prakash Steelag,68.75,1.27,10.91,6.62,4.53,110,-82.91
09/09/10,Gujarat Pipavav,500,13.2,85.7,9.15,19.94,46,17.5
29/09/10,Indosolar,357,1.44,1.3,1.81,1.55,29,-18.28
